2.125,0.5625,1.5
2.4375,0.5,2.1875
1.6875,0.5,2.375
1.5625,0.625,2.3125
1.375,0.8125,2.1875
1.1875,1.0625,1.625
0.9375,1.5,1.375
0.75,2.0625,1.5
0.6875,2.625,1.8125
0.6875,3.0625,1.6875
0.3125,3.1875,1.9375
0,3.3125,1.9375
-0.6875,3.4375,1.9375
-0.6875,3,2.4375
-1.25,2.4375,2.6875
-1.4375,0.625,3.0625
-1.1875,0.625,2.625
-1.0625,-1,3.0625
0.8125,-6.625,5.9375
5.5,-9.125,7.125
4.6875,-7.375,2.9375
3.1875,-6.4375,3.375
2.875,-5.3125,3.1875
3.875,-3.8125,2.25
4.8125,-2.6875,1.4375
6.5,-0.625,0.875
6.4375,0.5,1.5625
7,1.5,1.9375
6.3125,0.6875,2.5625
5.5625,-1.3125,2.5625
5.5,-3.1875,2.1875
6,-4.1875,1.25
7,-4.625,0.5625
7.875,-4.9375,0.3125
7.875,-4.125,0.125
7.6875,-3,0
7.9375,-0.0625,1.0625
7.3125,4.1875,2.5625
4.8125,7.625,5.375
6.5625,6.625,6.875
7.6875,7.0625,6.4375
7.625,6.875,5.875
7.4375,6.3125,6.5
7.875,6.8125,7.8125
8,8.3125,10.25
8.5,9.4375,12.188
9.0625,9.875,13.125
8.6875,10.5,13.25
8.625,10.313,13.688
9.4375,9.25,13
10.438,9.875,11.813
7.25,20.563,6.8125
9.6875,22.875,4.6875
15.188,15.25,2.5
13.25,12.5,0.375
12.375,7.25,-0.1875
10.75,6.8125,-1.5
10.125,8.875,-2.0625
9.1875,11.875,-1.0625
8.4375,14.5,-1.6875
6.625,22.188,-6.25
14.938,16.688,-8.5625
18.438,9.8125,-11.563
16.688,6.5625,-12.75
15.25,4.375,-10.188
14,5.125,-5.875
13.063,6.6875,-1.125
13.125,7.6875,1.5
13.688,8.625,4.1875
15.563,7.9375,6.625
17.75,7.0625,7.125
18.938,6.625,7.1875
18.813,7.3125,8.6875
19.688,8.5625,12.125
21.125,9.4375,14.188
23.125,10.125,15
26.063,10.063,14.375
30.125,10.25,13.5
35.125,9.6875,13.063
40.188,9.5,12.188
45.25,10.063,11.438
50.188,10.625,12.25
52.313,11.313,13.563
54.125,12.188,14.625
55.188,12.75,14.875
57.313,13.375,14.375
58.625,14.438,14.563
59.625,14.375,14.813
61.5,15.063,14.875
63,15.625,15.563
64.438,16.375,15.625
66.375,16.75,15.938
